TF	Gene	Confidence
Srebf1	Hemk1	0.483836996
Klf7	Pmm1	0.483781857
Sp2	Nedd4	0.483381085
Rest	Pgm2	0.483105507
Srebf1	Kif3a	0.481954454
Stat3	Gpr65	0.480919748
Bhlhe40	Impdh1	0.479317951
Klf2	Eci2	0.479291159
Cic	Tgm2	0.479188022
Irf4	Sms	0.478779171
Fosl1	Lpp	0.478571172
Rest	H2-Ab1	0.478279425
Cic	Anxa3	0.478040944
Irf8	Npc2	0.477207293
E2f1	Tnk2	0.477075047
Srebf2	Chd7	0.476998062
Irf8	Serpinb6b	0.476917742
Sp2	Mfge8	0.476850813
Fosl1	Sec24d	0.476835034
Foxn2	Bcl2l11	0.476660514
Irf8	Dpp4	0.476498164
Elk3	Rgs14	0.475974153
Nr4a2	Sytl2	0.475793483
Creb1	Srgn	0.475607853
Klf4	Tax1bp3	0.47556067
Tcf12	Inpp5b	0.474313256
Zbtb7b	Gabbr1	0.474130383
Arid3a	Pxn	0.47385819
Klf4	Pycr1	0.473318053
Klf4	Plekha1	0.472744133
Sp2	Retsat	0.471665698
Srebf2	Mapk11	0.471476798
Bcl6	Il24	0.471373306
Bhlhe40	Itpr3	0.471001213
Gabpa	Ecd	0.470510042
Irf8	Zbp1	0.469848458
Elf1	Ppcdc	0.469501813
Irf4	Slc4a8	0.469327335
Nr4a2	Serpine2	0.469123187
Stat3	Atf6	0.469076009
Klf3	S1pr1	0.468242642
Rest	Zdhhc2	0.468226317
Klf13	Ninj1	0.467585526
Stat2	Vav3	0.467378695
E2f1	Wee1	0.464048874
Myc	Tpst1	0.463997597
Sp2	Acad8	0.463725364
Foxo1	Ccng2	0.463515826
Klf10_Klf11	Extl3	0.462712484
Tcf12	Cttn	0.462323595
Fosl1	Prnp	0.461954927
Tcf12	Hk2	0.461833905
Ets2	Tbc1d14	0.46154811
Cebpb	Narf	0.460768385
Pou6f1	Ccl20	0.460360363
Sp2	Auh	0.460030213
Sp2	Cdkn2c	0.459914423
Klf4	Sertad3	0.459870485
Cebpb	Tnfsf4	0.458834718
Cic	Map4k4	0.458709175
Srebf2	Skil	0.457418164
Sp3	Tulp3	0.457304845
Zfp281	Gtf2i	0.456465425
Sp2	Clic1	0.45645503
Egr3	Mboat7	0.456005636
Fos	Impa2	0.455392449
Stat1	Lgals3bp	0.455084212
Foxo3	Eif4e3	0.453893184
Foxo1	Sgip1	0.453815996
Sp2	Psph	0.453557859
Maff	Tpd52	0.453498853
Elk3	Tex2	0.453014164
Klf7	Ethe1	0.451895423
Etv6	Rpp14	0.45177667
Egr1	0610007P14Rik	0.451725722
Egr3	Cdk16	0.450989747
Srebf2	Lrrfip1	0.450108475
Cic	Trappc10	0.449551189
Sp3	Arid3a	0.449471305
Gabpa	Mdn1	0.449443202
Ddit3	Prkca	0.448519714
E2f1	Gusb	0.44838256
Srebf1	Ift57	0.448361905
Egr2	Sh2b1	0.448110669
Irf4	Fut8	0.447428702
Fosl1	Pstpip1	0.447240974
Irf4	Pdcd1lg2	0.446307325
Fosl1	Pgs1	0.444596803
Klf4	Surf4	0.444197737
Fosl1	Rnh1	0.443918185
Creb1	Gmfg	0.443631095
Fosl1	Ctsb	0.442627289
Nr3c1	Gemin6	0.442572795
Foxo1	Ctss	0.442344718
Sp2	Fbxo18	0.441948195
Tcf12	Ccnd3	0.441775823
Irf4	Agpat3	0.441567106
Arid3a	Zfp426	0.441545728
Rxra	Psrc1	0.441283437
Fli1	Chmp4b	0.440645412
Bbx	Il10	0.437713216
Stat3	Myo10	0.437602101
Fos	Tubb6	0.43728715
Sp2	Ddit4	0.436987604
Nfe2l2	Gadd45g	0.436935633
Fosl1	Tubb6	0.436334421
Egr3	Hspb11	0.435916951
Gabpa	Smyd5	0.435688827
Zbtb7b	Slc38a1	0.435633307
Zfp281	R3hdm1	0.435154143
Tbx21	Ncoa1	0.435083209
Topors	Bcl2a1d	0.434315874
Bcl6	Slc38a1	0.433479413
Tcf3	Ypel3	0.433261619
Klf9	Tbc1d14	0.433097776
Tcf12	Slc6a6	0.433026767
Bcl6	Cog6	0.432697688
Gabpa	Zfp568	0.432426827
Elf1	Ankmy2	0.432224271
Ets1	Mmachc	0.432071164
Foxo3	Nckap1	0.432007274
Klf13	Rab4b	0.4312536
Mga	Ier3	0.430811887
Nr4a1	Ptger2	0.430766883
Sp3	Wdr81	0.430490956
Stat3	Etv6	0.430417468
Klf4	Cs	0.429135953
E2f1	Larp4b	0.429044502
Klf4	Lgmn	0.428903402
Stat2	Ppp3ca	0.427956383
Mafg	Fyn	0.426879572
Zfx	Mapk14	0.425984435
Runx2	Casp3	0.425321505
Hif1a	Jmjd6	0.425254948
Batf	Bid	0.424563074
Klf4	Dhrs1	0.424350828
Tcf3	Ppp3cc	0.423635008
Pou2f2	Srpk2	0.423352138
Mxi1	Galk1	0.422663936
Stat2	Sesn1	0.422428374
Mga	Sash3	0.421478937
Srebf2	Picalm	0.4214089
Cic	Socs3	0.42117369
E2f1	Ptprs	0.421148909
Nr3c1	Nucks1	0.420555237
Srebf1	Hook2	0.420419524
Bhlhe40	Znrf1	0.420326569
Rxra	Nudt8	0.420244409
Rest	Ccng2	0.4201776
Stat1	Bcl3	0.420161767
Foxn2	Rasgrp1	0.419004338
Rorc	Lpp	0.418983055
Irf7	Akap12	0.418716198
Klf3	Gpr146	0.418454405
Pou2af1	Arl4c	0.417616281
Fos	Rdh11	0.4175448
Elk3	Trappc10	0.417354417
Zfp281	Ucp2	0.417239506
Bcl6	Prkch	0.417157608
Xbp1	Rpl36al	0.416647724
Tcf12	Clic4	0.416589153
Foxn2	Stat4	0.416160528
Pou2f2	Idh1	0.416085902
Irf8	Ifnar1	0.415784748
Irf9	Cmas	0.415569524
Sp3	Gpsm2	0.415505304
Egr1	Serpine2	0.415221129
Egr1	Vdac1	0.415189143
Fli1	Igfbp7	0.414617203
Fosl1	Nek6	0.414539872
Rest	Clybl	0.413950258
Klf4	Mical1	0.413937229
Foxo1	Cox7a2l	0.413544247
Nfkb1	Stat5b	0.413495339
Fos	Gnb5	0.413479702
Zbtb1	Bcl2l11	0.412544777
Patz1	Rnf149	0.411996026
Fos	Tmem43	0.410191024
Rela	Mxi1	0.409536284
Elk3	Tnip2	0.409305461
Mef2d	Ifi203	0.408751921
Srebf2	Iqgap2	0.408146712
Batf	Chm	0.408110244
Rxra	Krtcap2	0.407997658
Sox4	Smarca2	0.407877272
Fosl1	Creb3l2	0.40784567
Atf5	Slc4a8	0.407689149
Fosl1	Mta3	0.407158376
Zfx	Crebbp	0.406847856
Sox4	Phlpp1	0.40664967
Fli1	Mapk6	0.406141436
Sp2	Acot13	0.405686539
Fli1	Zfp36	0.405531973
Rreb1	Tsc22d1	0.404883246
Elf1	Bcl2a1d	0.404753895
Batf	Edem1	0.404689582
Stat2	Samsn1	0.404263483
Fosl1	Gnb5	0.403991796
Cic	Foxp1	0.403886799
Bcl6	Ppme1	0.403781832
Irf4	Cd274	0.402574484
Irf9	Sqstm1	0.40222873
Egr3	Lgals1	0.402121515
Elf1	Tpm1	0.401872373
Irf4	Ptprcap	0.401497685
Sp3	Arrb1	0.400860625
Pou2f2	Ppic	0.400682289
Fos	Chac1	0.400464138
Irf8	Acy1	0.399131484
Sp2	S100a13	0.398753713
Sp3	Sh3bp1	0.398316311
Sp2	Lactb	0.397877772
Dbp	B3gnt2	0.397842495
Foxo1	Syf2	0.397054275
Egr1	Map3k14	0.396661977
Irf9	Rsad2	0.396219506
Bcl6	Eef1a1	0.396086173
Fosl1	Stat2	0.394831234
Rxra	Crip1	0.394791804
Mga	Sertad1	0.394629798
Egr1	Traf3	0.394142161
Tcf3	Sash3	0.39316808
Fos	Exoc4	0.392906657
Cic	Il9	0.392832352
Irf2	B3gnt2	0.392830383
Bcl6	Ralb	0.392634654
Egr1	Naa20	0.392222216
Fos	Plod2	0.391976999
E2f1	Cnot1	0.391360444
Tcf12	Il2rb	0.390991272
Zbtb7b	Zfp36l2	0.390046098
Stat1	Cpox	0.38923387
Klf9	C2cd2l	0.389040089
Fos	Tnfsf9	0.388641535
Stat3	Ncs1	0.388458095
Irf4	Rbmx	0.388012024
Fosl1	Piwil2	0.387552902
Srebf1	Ppp3cc	0.387325008
Sp2	Tmed3	0.387177564
Fos	Pkp3	0.386948427
Srebf1	Idh1	0.386653766
Elf1	Pts	0.386163676
Mef2d	Qser1	0.386119748
Elk3	Bmp2k	0.385678277
Hif3a	Srgn	0.385454278
Egr3	Clybl	0.385157006
Cebpb	Ell2	0.384309912
Pou2af1	Sell	0.383730288
Sp3	Helb	0.383080478
Rxra	Sra1	0.382716962
Egr1	Syce2	0.381283196
Sp3	Mapk3	0.380673929
Pou6f1	Rbpj	0.380292818
Stat3	Pccb	0.379882863
Atf3	Fbxo11	0.378752084
Irf4	Erc1	0.377613521
Sp3	Pcbp4	0.377461265
Egr1	Exosc8	0.376773068
Fosl1	Cd47	0.376383745
Pou6f1	Runx2	0.376215229
Sp3	Bmpr1a	0.376179351
Irf2	Stk4	0.37610503
Stat3	Ctla4	0.375950177
Sp3	Pafah1b3	0.375893651
Bcl6	Syne1	0.37587054
Rela	H2-Ab1	0.375860191
Fosl1	Capg	0.375837635
Dbp	Nedd9	0.375648171
Atf5	Pde7a	0.375639681
Pou2f2	Nucb2	0.375076598
Zfx	Snx19	0.3749918
Relb	Nfe2l2	0.3748298
Stat3	Acsl4	0.37326368
Rxra	Psmd8	0.373026599
Stat1	Ripk1	0.372241501
Rest	Anxa4	0.372090679
Pou2f2	Tapbpl	0.372061412
Klf2	Glcci1	0.37197023
Klf4	Rnf19b	0.370954488
Egr1	Rpa2	0.370414502
E4f1	Dnajc27	0.370033522
Nfe2l2	Ptpn2	0.369718891
Irf4	9030617O03Rik	0.368925278
Irf4	Glipr1	0.368875027
Stat2	Arhgef3	0.368178256
Rest	Pstpip1	0.368143377
Nr3c1	Commd9	0.367521527
Elf1	Ifi203	0.367152041
Pou2f2	Gpr65	0.366539128
Gabpa	Aldh3a2	0.365883962
Batf	Abca1	0.365010673
Klf4	Ccdc92	0.364451903
Stat3	Rgs1	0.364388966
Egr1	Mpdu1	0.364160208
Zbtb7b	Notch1	0.36412002
Sp2	Rnh1	0.363986501
Srebf1	Gap43	0.363362235
Fos	Lgals1	0.363077322
Srebf1	Mxi1	0.362823009
Maff	Bcl2	0.362017557
Rreb1	Epc1	0.361919541
Zbtb7b	Crebbp	0.361737499
Stat2	Ifnar1	0.361530507
Rbpj	Tox	0.360870644
Cic	Alpk2	0.36076855
Batf	Vim	0.360139661
Zfx	Pknox1	0.360086904
Fos	Tex15	0.359539189
Rxra	Cox17	0.359027494
Elf1	Commd9	0.358819139
Gabpa	Acp5	0.358201632
Tbx21	Chd7	0.357429479
Fosl1	Sema4f	0.357377724
Sp3	Ddit4	0.357295791
Zfp281	Tns1	0.357046881
Foxo1	Ypel3	0.357014508
Irf9	Edem1	0.356525433
Elk4	Mecr	0.355480851
Creb1	Sik1	0.355357151
Sp2	Grn	0.355250924
Klf4	Fbxo21	0.354913251
Egr1	Ick	0.354671082
Tef	Perp	0.353986349
Egr3	Traf3	0.353656534
Junb	Bcl11b	0.353286177
Sox4	Ick	0.352995777
Mga	Tgm2	0.352819588
Srebf1	Ndrg2	0.352456153
Fos	Vim	0.352313801
Batf	Rabgap1l	0.350979546
Batf	Emb	0.350753665
Egr3	Zfpm1	0.350530955
Bcl6	Mvp	0.350512826
Fos	Adora2a	0.350050781
Stat3	Tnfrsf25	0.349995735
Sox4	Celf2	0.349594758
Nr3c1	Opn3	0.349021994
Sox4	Lactb	0.348967061
Irf4	Ifit1	0.348820306
Sp2	Plk2	0.348719858
Stat2	Tnfsf8	0.347500333
Stat3	Nsg2	0.347307286
Srf	Prkch	0.346984625
Foxo1	Tmem71	0.346939668
Rela	Nupr1	0.346769653
Gabpa	Minpp1	0.346627131
Mef2d	Phtf2	0.346549326
Stat1	Il18r1	0.346466829
Fli1	Pbx2	0.346205916
Foxn2	Ppp3ca	0.346107005
Pou2f2	Rgs1	0.346054609
Rest	Trip10	0.345620828
Cebpb	Oxct1	0.344993894
Sp2	Ier3	0.344683792
Rela	Gla	0.344119952
Maff	Nfe2l2	0.343932273
Klf10_Klf11	Jak3	0.343897296
Irf9	Spata6	0.343660228
Runx2	Rap2b	0.343503217
Tef	Tcf12	0.343377191
Fosl1	Ube2v1	0.343256578
Rel	Tspan3	0.343070869
Elk3	Aldh3a2	0.342752554
Egr3	Gtf2i	0.342371898
Sp2	Npc2	0.342124765
Tbx21	Rassf1	0.341982131
Sp3	Cyfip2	0.341921432
Pou2f2	Sdcbp2	0.340802076
Fosl1	Ddr1	0.340292871
Junb	Sorl1	0.340049941
Fos	Il10rb	0.339251609
Nfe2l2	Emb	0.3390378
Sox4	Ifit2	0.33890235
Erf	Riok3	0.338805234
Fosl1	Arid5a	0.338587096
Hif3a	Ptpn2	0.338219168
Klf13	Cndp2	0.338159464
Irf4	Ms4a4b	0.337478922
Atf3	Dnajc21	0.337259266
Egr1	Tpm1	0.337176166
Stat3	Adarb1	0.336963698
Foxn2	Dpp4	0.336954313
Gabpa	Acad9	0.336915174
Sp3	Jak3	0.336196621
Fli1	Bcl3	0.335324109
Atf3	Cdadc1	0.335301773
Tcf3	Cebpb	0.3346495
Fli1	Eef1a1	0.33441586
Cux1	Vrk2	0.33422108
Sox4	Gypc	0.333639066
Foxo1	Vps37b	0.33312837
Fosl1	Dock9	0.332894855
Egr1	Ralb	0.332732932
Batf	Adck1	0.332493612
Klf4	Ubtd1	0.332480343
Egr1	Uqcrq	0.332450472
Runx2	Gimap7	0.331892793
Stat2	Glipr1	0.331696996
Atf6	R3hdm1	0.331681005
Srf	Parp6	0.331669273
Arid3a	Tex15	0.33161543
Pou2f2	Cd9	0.331425943
Irf4	Cst3	0.331400476
Batf	Ehd4	0.331218309
Stat3	Mina	0.33104152
Bcl6	Hif1a	0.330712137
Nr4a2	N4bp2l1	0.330257516
Dbp	Fap	0.330200044
Sp110	M6pr	0.329332265
Klf3	Irf7	0.329238399
Fosl1	Tspan5	0.328978661
Nr4a2	Inpp1	0.328885941
Sp2	Pdzk1ip1	0.328833829
Crem	Plaur	0.328307806
Fosl1	Sema7a	0.32796475
Irf8	Plk2	0.327963408
Arid3a	Ccdc50	0.327392135
Egr2	Arhgap17	0.32734622
Fosl1	Twsg1	0.327210624
Sp2	Dnajc12	0.327062305
Klf4	Dusp22	0.326867714
Fos	Sugt1	0.326832843
Stat3	Lif	0.326537674
Stat3	Il1r1	0.326435631
Sp2	Emp3	0.326433532
Zfx	Reps1	0.326059856
Klf4	P4hb	0.326034242
Pou2f2	Ap3b1	0.325668431
Egr2	Ikzf4	0.325593222
Tcf3	Abcg1	0.324559023
Tbx21	Lpxn	0.324511423
Plagl1	Rara	0.324026205
Klf3	Hexb	0.323938225
Rela	Pdzk1ip1	0.322860922
Tcf3	Tspan13	0.322707411
Srebf1	Dctn4	0.322545776
Irf7	Pde7a	0.32212057
Erf	Acin1	0.321934866
Fli1	Lpxn	0.321533943
Stat1	Slco3a1	0.321465082
Stat3	Pdpn	0.321065718
Bhlhe40	Casp3	0.320843758
Mef2d	Nr4a3	0.320278221
Rora	Il4ra	0.320246526
Cebpb	Ostf1	0.319922498
Rxra	Rpl14	0.319452044
Zbtb7b	Acvr1b	0.319054844
Zbtb7b	Tsc1	0.318655556
Stat1	Lpp	0.318460213
Rbpj	Sox4	0.318071162
Mga	Smox	0.318017829
Stat1	Fosl2	0.31791069
Sp2	Cd74	0.317629992
Atf5	Cyfip2	0.31758868
Irf4	Parp8	0.317267165
Elk3	Rab20	0.316718451
Irf4	Rsad2	0.315831416
Fosl1	Klf7	0.315711761
Sp2	Pigc	0.315538679
Maff	Snx10	0.315526462
Lyl1_Tal2	Slc39a14	0.31549801
Klf2	Fbxo11	0.315383003
Rela	Kctd12	0.314986592
Irf8	Rsad2	0.314902676
Bbx	Erc1	0.314609303
Irf9	Lime1	0.314605766
Rreb1	Dusp1	0.314574788
Zfp281	Zfp36l2	0.314366466
Irf8	Tnfaip8	0.314365293
Zbtb7a	Pbx2	0.314236627
Nfe2l2	Ubtd1	0.314102308
Nfatc1	Pvt1	0.313819149
Gfi1	Plod2	0.313785503
Fli1	Rasgrp2	0.312933705
Sp3	Plscr3	0.31262931
Nr3c1	Tlcd1	0.312587144
Bhlhe40	Egr2	0.311891371
Bhlhe40	Mafg	0.31175791
Sp3	Nlgn2	0.311657994
Stat3	Nek6	0.311523106
Myc	Tnfrsf21	0.311503695
Atf5	Slc39a1	0.311203036
Bhlhe40	Bmp2k	0.310519533
Nfe2l2	Sema4a	0.310396013
Srf	Ctla2a	0.30992257
Sp4	Thap4	0.309755213
Bcl6	Dnmt3a	0.309452789
Egr1	Pnkd	0.309352994
Foxo3	S100a6	0.30923311
Bcl6	Vwa5a	0.309218614
Stat2	Rbpj	0.308181028
Klf13	Cish	0.308061309
Junb	Ets1	0.308013928
Irf2	Ms4a6c	0.307921014
Fosl1	Tes	0.307889012
Irf4	Pvt1	0.30740133
Bcl6	Sgip1	0.307319161
Rxra	Stard10	0.307209428
Klf4	Max	0.306989248
Sp2	Bcl2l2	0.306112949
Rxra	Hopx	0.304594549
Irf1	Ifih1	0.304353707
Zfp281	Ccdc92	0.304324065
Batf	Gpsm2	0.304202463
Maff	Eid1	0.304020627
Fosl1	Wdfy2	0.303847798
Mxi1	Acy1	0.303692476
Zbtb7a	Dhcr24	0.303353262
Bcl6	Tiparp	0.303295858
Nr4a2	Rassf3	0.302638254
Fos	Ece1	0.302437455
Cebpb	Cd44	0.302171068
Sox4	Parp8	0.301395666
Fosl1	Slc4a8	0.301351629
E4f1	Srpk1	0.300524804
Klf7	Ass1	0.300493219
Bach1	Gnptab	0.300365996
Myc	Wee1	0.300226013
Fos	Trpv2	0.300058781
Irf4	Pex19	0.299695991
Gabpa	Sf3b3	0.299571095
Rest	Bcl2l2	0.299510354
Topors	Bpnt1	0.299312968
Pou2f2	Hspb11	0.299287379
Egr1	Lgals3	0.299269022
Bcl6	Wdr1	0.298827627
Rela	Wipf1	0.298802558
Foxo3	Mgst3	0.298777209
Zbtb7b	Cdc42ep3	0.29816159
Bcl6	Lmna	0.297735842
Rreb1	Tef	0.297685602
Nfkb1	Znrf1	0.297653713
Stat1	Wwp1	0.297588853
Elf1	Dbt	0.297344881
Elf1	Rab8b	0.297138085
Klf7	Wdr82	0.297047428
Fosl1	Itgb7	0.296539849
Egr3	Mllt6	0.296423025
Elf1	St7l	0.29618926
Fosl1	Cndp2	0.296094978
Nfic	Vegfb	0.295846974
Creb1	Fau	0.29573482
Stat4	Pla2g12a	0.295558288
Irf7	Acsl6	0.295519986
Egr1	Ggct	0.295190826
Batf	Ptprj	0.295139245
Fli1	Txk	0.294962308
Atf3	Rfwd3	0.29474524
Zfx	Atad2b	0.294286885
Ets2	Sh2d3c	0.294061023
Myc	St7	0.293880217
Sp2	Gatm	0.292413139
Dbp	Naa20	0.292233889
Stat2	Rel	0.291727993
Tbx21	Gem	0.29152275
Fosl1	Sun1	0.291429953
Stat3	4833439L19Rik	0.291241703
Stat3	Slc39a1	0.291153894
Rbpj	Taf7	0.291130981
Stat1	Mgll	0.291120512
Stat3	Pik3ca	0.289867109
Hbp1	Dusp6	0.289124446
Rxrb	Gzmb	0.288712716
Plagl2	Tspan2	0.288655679
Elf1	Zfp568	0.288500601
Klf4	Rassf1	0.288190569
Zfx	Tnrc6a	0.288164844
Irf4	Epsti1	0.288006413
Pou2f2	Hexb	0.288000432
Runx2	Slamf6	0.287926798
Rxra	Penk	0.287901087
Etv6	Naca	0.28776612
Rela	Tnfsf8	0.287674551
Runx2	Aig1	0.287236179
Mef2d	Nr4a1	0.287145676
Irf8	Stat4	0.287128034
Fosl1	Il4ra	0.287118895
Egr2	Pde2a	0.286592607
Srebf2	E330009J07Rik	0.286440073
Rxra	Higd1a	0.286215705
Fosl1	B4galt1	0.286194745
Sp3	Fads2	0.285382022
Rest	Trib3	0.285328066
Nfatc1	Rps6	0.28496311
Irf1	Dzip1	0.284617901
Stat2	Tmem71	0.284599432
Zbtb7b	Per2	0.284448871
Batf	Gap43	0.284141101
Pou6f1	Galnt3	0.283798256
Klf2	B4galnt1	0.283406545
Mafg	Vav3	0.283206466
Stat3	Cpd	0.282970418
Bcl6	Osbpl2	0.282906156
Klf4	Rab4b	0.282900012
Rxra	BC021614	0.282749256
Ahr	Cln5	0.282559504
Bcl6	Bcl2	0.282268445
Zbtb7a	Wrnip1	0.282257948
Egr1	Pter	0.282109392
Bbx	Tiparp	0.282060133
Rel	Aig1	0.282033803
Pbx2	Cd28	0.281561287
Rela	Decr1	0.281197257
Sp2	Ndrg2	0.280764033
Egr1	Atp6v1g1	0.280127031
Zfp281	Map3k1	0.280125359
Egr1	Abhd4	0.279827776
Srebf1	Gla	0.279618776
Creb1	Ypel3	0.279506799
Klf13	Vegfb	0.278624133
Sp2	Eci1	0.278430642
Srebf1	Abhd4	0.278293448
